epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.27,1.31944,3.34807,1.27442,0.5207,0.3472,0.34388,0.22397,1.22998,1.98713,1.21942,0.000194685,0.000194685,0.000194685
2,177.334,1.32501,1.99481,1.30092,0.63311,0.45053,0.4492,0.29335,1.19077,1.60978,1.22361,0.000386817,0.000386817,0.000386817
3,245.898,1.29296,1.74584,1.28337,0.52596,0.51535,0.49286,0.31621,1.19914,1.50814,1.22899,0.000575068,0.000575068,0.000575068
4,313.119,1.28817,1.65114,1.27373,0.56016,0.50485,0.52825,0.3409,1.20166,1.46866,1.23661,0.000570536,0.000570536,0.000570536
5,381.6,1.26326,1.59133,1.25139,0.58003,0.50687,0.5506,0.36369,1.2075,1.38534,1.22558,0.000564715,0.000564715,0.000564715
6,449.938,1.24495,1.51126,1.24118,0.64015,0.51686,0.5586,0.37632,1.16838,1.34522,1.20716,0.000558894,0.000558894,0.000558894
7,518.056,1.23474,1.47787,1.23111,0.60921,0.55123,0.57959,0.3818,1.1705,1.3349,1.20225,0.000553073,0.000553073,0.000553073
8,586.053,1.22163,1.43555,1.22599,0.55698,0.57956,0.5734,0.37587,1.17384,1.34336,1.1936,0.000547252,0.000547252,0.000547252
9,654.814,1.20212,1.3897,1.21163,0.61627,0.54958,0.60354,0.41308,1.13598,1.23772,1.17364,0.00054143,0.00054143,0.00054143
10,722.86,1.20571,1.37369,1.20869,0.62605,0.56422,0.60645,0.40623,1.15942,1.28615,1.18736,0.000535609,0.000535609,0.000535609
11,790.251,1.18807,1.32781,1.20402,0.6258,0.54897,0.58811,0.39282,1.15274,1.239,1.19195,0.000529788,0.000529788,0.000529788
12,854.28,1.19228,1.31456,1.20201,0.66591,0.61607,0.64653,0.43767,1.12231,1.16215,1.16874,0.000523967,0.000523967,0.000523967
13,917.162,1.16851,1.28002,1.19373,0.66608,0.58077,0.63646,0.4236,1.14404,1.18053,1.19508,0.000518146,0.000518146,0.000518146
14,980.818,1.17518,1.27506,1.19764,0.67115,0.57001,0.62741,0.42847,1.12196,1.18116,1.1711,0.000512324,0.000512324,0.000512324
15,1044.83,1.16105,1.24382,1.18485,0.62197,0.60999,0.64159,0.43357,1.11212,1.1549,1.1571,0.000506503,0.000506503,0.000506503
16,1108.77,1.1574,1.23255,1.18098,0.60342,0.63473,0.62439,0.42804,1.13102,1.20741,1.18221,0.000500682,0.000500682,0.000500682
17,1172.18,1.15412,1.21204,1.18826,0.61076,0.62291,0.63835,0.43185,1.12377,1.16872,1.17421,0.000494861,0.000494861,0.000494861
18,1236.31,1.15566,1.21838,1.18269,0.67273,0.62677,0.64552,0.44683,1.10879,1.1387,1.1506,0.00048904,0.00048904,0.00048904
19,1301.68,1.14165,1.17455,1.1678,0.68646,0.59415,0.64002,0.44115,1.12529,1.18067,1.1742,0.000483218,0.000483218,0.000483218
20,1367.3,1.13007,1.14421,1.16267,0.6581,0.62377,0.65027,0.455,1.113,1.13772,1.16721,0.000477397,0.000477397,0.000477397
21,1433.88,1.13869,1.13847,1.16196,0.67318,0.57593,0.64953,0.4474,1.11697,1.11342,1.16906,0.000471576,0.000471576,0.000471576
22,1499.14,1.13454,1.13683,1.16273,0.64367,0.58944,0.64159,0.44952,1.11791,1.14687,1.1736,0.000465755,0.000465755,0.000465755
23,1562.31,1.11921,1.11944,1.15935,0.68603,0.60493,0.6793,0.47437,1.08512,1.11891,1.13949,0.000459934,0.000459934,0.000459934
24,1626.11,1.12334,1.10388,1.15314,0.71306,0.58965,0.67199,0.44955,1.10661,1.12679,1.15095,0.000454112,0.000454112,0.000454112
25,1690.46,1.1142,1.09363,1.14698,0.63959,0.6459,0.67993,0.47401,1.09644,1.0971,1.15434,0.000448291,0.000448291,0.000448291
26,1753.87,1.11176,1.08216,1.14827,0.74849,0.64706,0.70587,0.48316,1.1082,1.08458,1.15167,0.00044247,0.00044247,0.00044247
27,1816.97,1.10825,1.07864,1.14373,0.71794,0.6095,0.68938,0.48461,1.08834,1.07064,1.14032,0.000436649,0.000436649,0.000436649
28,1880.8,1.09386,1.05393,1.13942,0.69851,0.64987,0.68636,0.46481,1.1023,1.11252,1.14734,0.000430828,0.000430828,0.000430828
29,1944.42,1.11188,1.05272,1.14652,0.71337,0.61959,0.67524,0.46002,1.10977,1.10511,1.15739,0.000425006,0.000425006,0.000425006
30,2007.29,1.10412,1.05296,1.14086,0.69999,0.63011,0.66342,0.45075,1.11537,1.08867,1.15793,0.000419185,0.000419185,0.000419185
31,2069.62,1.09775,1.0292,1.13798,0.70404,0.65851,0.69066,0.48185,1.09956,1.03686,1.15587,0.000413364,0.000413364,0.000413364
32,2132.06,1.07926,1.01791,1.12776,0.73763,0.59156,0.68958,0.47479,1.1002,1.09912,1.15493,0.000407543,0.000407543,0.000407543
