epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,371.434,1.30398,3.33186,1.26861,0.50722,0.34219,0.35091,0.23557,1.23363,2.02831,1.23225,0.000194685,0.000194685,0.000194685
2,761.348,1.30888,1.95767,1.28868,0.63527,0.47413,0.49564,0.32909,1.17278,1.52785,1.22157,0.000386817,0.000386817,0.000386817
3,1128.94,1.28124,1.71054,1.27467,0.57434,0.4829,0.48004,0.31392,1.22378,1.54821,1.25889,0.000575068,0.000575068,0.000575068
4,1484.66,1.27127,1.61209,1.25991,0.57546,0.52226,0.52269,0.33944,1.17531,1.46485,1.20409,0.000570536,0.000570536,0.000570536
5,1852,1.24558,1.53559,1.24618,0.62529,0.54387,0.57478,0.37944,1.15846,1.37314,1.1965,0.000564715,0.000564715,0.000564715
6,2218.35,1.2295,1.48288,1.22414,0.63579,0.53314,0.60549,0.39296,1.15636,1.3484,1.19938,0.000558894,0.000558894,0.000558894
7,2575.88,1.21112,1.42852,1.22027,0.5353,0.62811,0.59079,0.38937,1.15286,1.35732,1.19392,0.000553073,0.000553073,0.000553073
8,2940.25,1.19719,1.39464,1.2084,0.62215,0.59114,0.60461,0.40374,1.14379,1.27628,1.20053,0.000547252,0.000547252,0.000547252
9,3304.46,1.1943,1.37102,1.21176,0.65873,0.54509,0.61032,0.40625,1.1318,1.2459,1.17973,0.00054143,0.00054143,0.00054143
10,3669.65,1.19366,1.32453,1.20672,0.65079,0.55446,0.6152,0.40095,1.14397,1.25474,1.18905,0.000535609,0.000535609,0.000535609
11,4033.66,1.17902,1.29832,1.19427,0.61948,0.60004,0.62057,0.41267,1.1137,1.20996,1.17503,0.000529788,0.000529788,0.000529788
12,4398.18,1.16548,1.27412,1.1918,0.60266,0.6164,0.58674,0.38993,1.16056,1.284,1.21052,0.000523967,0.000523967,0.000523967
13,4762.92,1.16304,1.24326,1.18727,0.63817,0.59763,0.62654,0.42707,1.13693,1.22221,1.1755,0.000518146,0.000518146,0.000518146
